x,y
-3300764.2,248732.6
-3301205.9075176315,248789.55076718854
-3301639.73553633,248857.32370030362
-3302064.1744764633,248930.12974543142
-3302481.925798075,248998.35773144313
-3302896.583132273,249059.7197654976
-3303310.0399683327,249116.36950938692
-3303726.397638602,249172.2545217059
-3304154.273885945,249232.59438666273
-3304598.1653490975,249308.49236796927
-3305051.5533582647,249422.5091960989
-3305497.034515638,249621.69619138498
-3305906.158086478,249916.42394903078
-3306291.2830540026,250295.41368453746
-3306645.3494310854,250741.37956614353
-3306918.3341549174,251259.64001407626
-3307083.320702724,251769.89286142643
-3307153.696539806,252171.05387968643
-3307182.480545772,252493.48405999545
-3307207.859325017,252789.85791632274
-3307233.9680275726,253073.31040915585
-3307262.920777968,253355.21845847883
-3307295.5995771782,253638.69728693075
-3307331.9979374623,253919.83179356784
-3307370.924873774,254197.7672776624
-3307412.438708713,254474.05855416384
-3307460.193270184,254749.47154599134
-3307518.405213757,255028.14156864438
-3307588.260446204,255310.27649001338
-3307670.5259765503,255603.41589458068
-3307771.3982691965,255915.28395600125
-3307881.976772932,256228.80162871562
-3307997.420418476,256541.25726351043
-3308115.496830686,256852.0282064616
-3308234.7649969202,257162.70129425783
-3308355.1733045042,257474.56189480072
-3308477.830514514,257788.16802008863
-3308599.902890692,258095.31756104887
-3308718.43563891,258393.0000680911
-3308832.2925319527,258681.87610028725
-3308942.7208677796,258961.42326987302
-3309063.8807061105,259242.891822381
-3309199.7608004566,259522.9496349147
-3309342.7058773446,259791.78379087473
-3309494.0200935462,260057.9979141102
-3309659.267266631,260325.87308330712
-3309829.0925982734,260585.82468878347
-3309993.3089779397,260836.82639176407
-3310151.824408453,261086.13162582548
-3310305.3373267394,261336.16389438795
-3310464.6389292167,261608.0158558636
-3310636.5395722436,261895.58812106255
-3310801.7759164516,262180.8947994261
