x,y
-3300914.572469773,247675.58173995794
-3301335.173450763,247728.1983871152
-3301760.228493307,247784.91608187984
-3302182.2873967555,247835.5670423739
-3302595.0333363744,247877.9715885767
-3302995.681252752,247918.4355299632
-3303378.2549852584,247960.0039441153
-3303747.758197764,248005.01043806667
-3304119.8429395785,248059.48719993082
-3304517.085741913,248133.70167034346
-3304948.357966541,248242.03624182512
-3305385.6425350024,248367.28022803034
-3305807.591129904,248518.13221257707
-3306209.9021844827,248714.45920185666
-3306606.179641616,248972.82206642407
-3307069.3044885085,249347.37746079415
-3307530.64308378,249733.82144510455
-3307926.1010587146,250121.40515906308
-3308251.3919884325,250531.7176422392
-3308529.130330151,250967.33010781076
-3308793.475131316,251317.28126696096
-3308994.215735236,251556.1931409931
-3309151.1829013103,251752.17977681142
-3309290.6440899097,251945.8249668207
-3309417.614349741,252144.9974558324
-3309531.889100388,252349.4666281661
-3309638.7882936266,252555.48669287597
-3309743.652323613,252758.89034607628
-3309846.0985550433,252959.20562325642
-3309944.2862482923,253159.88167666047
-3310039.449435437,253362.3631657582
-3310134.6759398333,253565.28995395452
-3310228.7485316135,253766.62190279498
-3310318.8310863734,253966.05640401275
-3310405.5392561266,254170.28339129622
-3310492.3990750373,254377.61233748114
-3310578.388347612,254582.3466566898
-3310664.1463587712,254782.67148989846
-3310749.8161762324,254975.9983665917
-3310837.04781497,255165.60580082246
-3310928.7137480946,255354.68719478714
-3311027.4511367413,255538.75350177038
-3311133.24412635,255714.50660794094
-3311246.544911615,255883.9840566988
-3311364.991293881,256045.31268273992
-3311491.535962051,256200.91741491313
-3311630.6329790736,256354.62763674784
-3311778.974060927,256504.92518770273
-3311934.871817007,256651.5587991352
-3312099.2993841404,256790.9701812124
-3312271.9392062915,256915.02234386536
-3312452.0658225906,257020.74299705148
-3312643.5241584065,257116.18435443888
-3312843.2602729197,257204.94969005664
-3313045.27198687,257282.49357051635
-3313266.8673518156,257343.39830938663
-3313504.5893196682,257393.0880431727
-3313715.2455982747,257439.14093674766
-3313848.4616152705,257490.90784827867
-3313890.668663528,257548.4222560658
-3313927.472480965,257608.1684774979
-3313937.7687339643,257650.45314253744
-3313925.746117844,257677.0071179968
-3313906.192520495,257695.2998650628
-3313887.364484211,257709.4461188732
-3313878.946844455,257722.73052414245
-3313880.088216701,257734.97048041926
-3313886.4452614593,257745.25489279247
-3313895.4485909,257753.2963586169
-3313905.410404669,257759.13098552456
-3313915.153791239,257762.9794646265
-3313923.8525342406,257765.16029187522
-3313930.981701723,257766.03771138872
-3313936.30575066,257765.97858959157
-3313939.8234277405,257765.32597364503
-3313941.733988442,257764.37684099347
-3313942.380559572,257763.35243090213
-3313942.135521159,257762.40573017622
-3313941.354186826,257761.6271717219
-3313940.334269246,257761.0525411603
-3313939.2962530092,257760.67937002057
-3313938.378811228,257760.4796744981
-3313937.652643711,257760.41265897194
-3313937.135278829,257760.43682027262
-3313936.8097202284,257760.5156187996
-3313936.6461820398,257760.61914095716
-3313936.6046859934,257760.72631440943
-3313936.64817432,257760.82488095702
-3313936.739318553,257760.90326437276
-3313936.8499877835,257760.9586814737
-3313936.9580458943,257760.9926226542
-3313937.049795368,257761.00879353646
-3313937.119161003,257761.01181850687
-3313937.166632908,257761.00629265697
-3313937.193635667,257760.99647394032
-3313937.20495272,257760.98480517123
-3313937.203959844,257760.97373959247
-3313937.195712494,257760.96448230778
-3313937.183876694,257760.95765813303
-3313937.1714766575,257760.95343281297
-3313937.1603181832,257760.95140815672
